timeHist0,timeHist1,timeHist2,timeHist3,timeHist4
1.320000000000000000e+02,3.479319815981226611e+02,3.103743775409462842e+02,3.001967008063857634e+02,4.597003999598476276e-01
1.330000000000000000e+02,3.479352988947267704e+02,3.104815033463286795e+02,3.002545506277949698e+02,4.718343942722698081e-01
1.340000000000000000e+02,3.479384544048663770e+02,3.105879624679242283e+02,3.003129759293997836e+02,4.840926117820270047e-01
1.350000000000000000e+02,3.479414560189604799e+02,3.106937602328294474e+02,3.003719664378735388e+02,4.964730272364751840e-01
1.360000000000000000e+02,3.479443112426077960e+02,3.107989020753699378e+02,3.004315119016791300e+02,5.089736183182571594e-01
1.370000000000000000e+02,3.479470272153546944e+02,3.109033935266307935e+02,3.004916020975248898e+02,5.215923669232720439e-01
1.380000000000000000e+02,3.479496107285476114e+02,3.110072402045138347e+02,3.005522268364733804e+02,5.343272603720419234e-01
1.390000000000000000e+02,3.479520682423153630e+02,3.111104478043004633e+02,3.006133759697134451e+02,5.471762925540706313e-01
1.400000000000000000e+02,3.479544059017223390e+02,3.112130220896987680e+02,3.006750393940076833e+02,5.601374650100902075e-01
1.410000000000000000e+02,3.479566295521347001e+02,3.113149688843554372e+02,3.007372070568262643e+02,5.732087879515087581e-01
1.420000000000000000e+02,3.479587447538367542e+02,3.114162940638130408e+02,3.007998689611777650e+02,5.863882812224179286e-01
1.430000000000000000e+02,3.479607567959345147e+02,3.115170035478939212e+02,3.008630151701487421e+02,5.996739752038249271e-01
1.440000000000000000e+02,3.479626707095812321e+02,3.116171032934927325e+02,3.009266358111617592e+02,6.130639116626529495e-01
1.450000000000000000e+02,3.479644912805579224e+02,3.117165992877604594e+02,3.009907210799631230e+02,6.265561445494802761e-01
1.460000000000000000e+02,3.479662230612403846e+02,3.118154975416629213e+02,3.010552612443499356e+02,6.401487407438856136e-01
1.470000000000000000e+02,3.479678703819822658e+02,3.119138040838977304e+02,3.011202466476473205e+02,6.538397807525687666e-01
1.480000000000000000e+02,3.479694373619435623e+02,3.120115249551539591e+02,3.011856677119444612e+02,6.676273593593833322e-01
1.490000000000000000e+02,3.479709279193903626e+02,3.121086662027001353e+02,3.012515149411004813e+02,6.815095862312650077e-01
1.500000000000000000e+02,3.479723457814926633e+02,3.122052338752851597e+02,3.013177789235280102e+02,6.954845864815342171e-01
1.510000000000000000e+02,3.479736944936442455e+02,3.123012340183390165e+02,3.013844503347651198e+02,7.095505011896555692e-01
